ncessch,leanm,schnam,mcity,mstate,fte,gslo,gshi,level,titlei,magnet,chartr,frelch,redlch,totfrl,member,am,asian,hisp,black,white,pacific,tr,toteth
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BERRYHILL SCHOOL,CHARLOTTE,NC,44.91999817,PK,08,1,1,2,2,530,46,576,641,6,28,361,108,116,1,21,641
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BEVERLY WOODS ELEMENTARY,CHARLOTTE,NC,44.22000122,PK,05,1,2,2,2,106,7,113,743,1,14,44,73,589,0,22,743
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BRIARWOOD ELEMENTARY,CHARLOTTE,NC,43.40000153,KG,05,1,1,2,2,606,26,632,685,6,17,244,382,26,0,10,685
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,CARMEL MIDDLE,CHARLOTTE,NC,59.06999969,06,08,2,1,2,2,385,37,422,1033,3,19,195,227,572,0,17,1033
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BILLINGSVILLE ELEMENTARY,CHARLOTTE,NC,41.36999893,PK,05,1,1,2,2,501,13,514,553,3,49,125,343,24,0,9,553
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,CLEAR CREEK ELEMENTARY,CHARLOTTE,NC,37,PK,05,1,1,2,2,316,56,372,660,6,14,136,219,256,0,29,660
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,COCHRANE COLLEGIATE ACADEMY,CHARLOTTE,NC,63.18999863,06,11,4,1,2,2,816,39,855,986,2,18,376,562,7,3,18,986
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,COLLINSWOOD LANGUAGE ACADEMY,CHARLOTTE,NC,46.59000015,KG,08,1,1,1,2,333,47,380,718,1,2,428,114,154,2,17,718
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,CORNELIUS ELEMENTARY,CORNELIUS,NC,34.65999985,KG,05,1,2,2,2,158,15,173,584,2,22,85,63,394,0,18,584
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,COTSWOLD ELEMENTARY,CHARLOTTE,NC,49.04999924,KG,05,1,1,2,2,265,35,300,813,1,24,69,231,472,1,15,813
